21/05/2015 - 03:45:20 - INFO  - Started the key listener for the new desktop
21/05/2015 - 03:45:20 - INFO  - Started the new explorer process
21/05/2015 - 03:45:20 - INFO  - Waiting for either LCTRL or ESC to be pressed
21/05/2015 - 03:45:28 - INFO  - Detected ESC press
21/05/2015 - 03:45:28 - INFO  - Closed the new thread desktop and returned to the original one
21/05/2015 - 03:45:28 - INFO  - Closed the key listener for the current desktop
21/05/2015 - 03:45:28 - INFO  - Closed the key listener for the new desktop
21/05/2015 - 03:45:28 - INFO  - Closed the new explorer process
21/05/2015 - 03:45:28 - ERROR - d:\projects\kyosk\kyosk\kyosklauncher.cpp:126 - Unable to enable options from CTRL+ALT+DEL menu
21/05/2015 - 03:45:28 - INFO  - *** LOG CLOSED ***

21/05/2015 - 04:16:17 - INFO  - *** LOG INITIALIZED ***
21/05/2015 - 04:16:17 - ERROR - d:\projects\kyosk\kyosk\kyosklauncher.cpp:24 - Unable to disable options from CTRL+ALT+DEL menu
21/05/2015 - 04:16:17 - INFO  - Created desktops
21/05/2015 - 04:16:17 - INFO  - Started the key listener for the current desktop
21/05/2015 - 04:16:17 - INFO  - Started the key listener for the new desktop
21/05/2015 - 04:16:17 - INFO  - Started the new explorer process
21/05/2015 - 04:16:17 - INFO  - Waiting for either LCTRL or ESC to be pressed
21/05/2015 - 04:16:25 - INFO  - Detected ESC press
21/05/2015 - 04:16:25 - INFO  - Closed the new thread desktop and returned to the original one
21/05/2015 - 04:16:25 - INFO  - Closed the key listener for the current desktop
21/05/2015 - 04:16:25 - INFO  - Closed the key listener for the new desktop
21/05/2015 - 04:16:25 - INFO  - Closed the new explorer process
21/05/2015 - 04:16:25 - ERROR - d:\projects\kyosk\kyosk\kyosklauncher.cpp:126 - Unable to enable options from CTRL+ALT+DEL menu
21/05/2015 - 04:16:25 - INFO  - *** LOG CLOSED ***

21/05/2015 - 04:22:53 - INFO  - *** LOG INITIALIZED ***
21/05/2015 - 04:22:53 - INFO  - Disabled options from CTRL+ALT+DEL menu
21/05/2015 - 04:22:53 - INFO  - Created desktops
21/05/2015 - 04:22:53 - INFO  - Started the key listener for the current desktop
21/05/2015 - 04:22:53 - INFO  - Started the key listener for the new desktop
21/05/2015 - 04:22:53 - INFO  - Started the new explorer process
21/05/2015 - 04:22:53 - INFO  - Waiting for either LCTRL or ESC to be pressed
21/05/2015 - 04:23:01 - INFO  - Switched to the original desktop
21/05/2015 - 04:23:02 - INFO  - Switched to the new desktop
21/05/2015 - 04:23:03 - INFO  - Detected ESC press
21/05/2015 - 04:23:03 - INFO  - Closed the new thread desktop and returned to the original one
21/05/2015 - 04:23:03 - INFO  - Closed the key listener for the current desktop
21/05/2015 - 04:23:03 - INFO  - Closed the key listener for the new desktop
21/05/2015 - 04:23:03 - INFO  - Closed the new explorer process
21/05/2015 - 04:23:03 - INFO  - Enabled options from CTRL+ALT+DEL menu
21/05/2015 - 04:23:03 - INFO  - *** LOG CLOSED ***

22/05/2015 - 10:49:42 - INFO  - *** LOG INITIALIZED ***
22/05/2015 - 10:49:42 - INFO  - Created desktops
22/05/2015 - 10:49:42 - INFO  - Started the key listener for the current desktop
22/05/2015 - 10:49:42 - INFO  - Started the key listener for the new desktop
22/05/2015 - 10:49:43 - INFO  - Started the new explorer process
22/05/2015 - 10:49:43 - INFO  - Disabled options from CTRL+ALT+DEL menu
22/05/2015 - 10:49:43 - INFO  - Waiting for either LCTRL or ESC to be pressed
22/05/2015 - 10:49:48 - INFO  - Switched to the original desktop
22/05/2015 - 10:49:49 - INFO  - Switched to the new desktop
22/05/2015 - 10:49:49 - INFO  - Switched to the original desktop
22/05/2015 - 10:49:50 - INFO  - Switched to the new desktop
22/05/2015 - 10:49:50 - INFO  - Switched to the original desktop
22/05/2015 - 10:49:51 - INFO  - Switched to the new desktop
22/05/2015 - 10:50:09 - INFO  - Detected ESC press
22/05/2015 - 10:50:09 - INFO  - Enabled options from CTRL+ALT+DEL menu
22/05/2015 - 10:50:09 - INFO  - Closed the new thread desktop and returned to the original one
22/05/2015 - 10:50:09 - INFO  - Closed the key listener for the current desktop
22/05/2015 - 10:50:09 - INFO  - Closed the key listener for the new desktop
22/05/2015 - 10:50:09 - INFO  - Closed the new explorer process
22/05/2015 - 10:50:09 - INFO  - *** LOG CLOSED ***

22/05/2015 - 11:03:10 - INFO  - *** LOG INITIALIZED ***
22/05/2015 - 11:03:10 - INFO  - Created desktops
22/05/2015 - 11:03:10 - INFO  - Started the key listener for the current desktop
22/05/2015 - 11:03:10 - INFO  - Started the key listener for the new desktop
22/05/2015 - 11:03:10 - INFO  - Started the new explorer process
22/05/2015 - 11:03:10 - INFO  - Disabled options from CTRL+ALT+DEL menu
22/05/2015 - 11:03:10 - INFO  - Waiting for either LCTRL or ESC to be pressed
22/05/2015 - 11:03:16 - INFO  - Detected ESC press
22/05/2015 - 11:03:16 - INFO  - Enabled options from CTRL+ALT+DEL menu
22/05/2015 - 11:03:16 - INFO  - Closed the new thread desktop and returned to the original one
22/05/2015 - 11:03:16 - INFO  - Closed the key listener for the current desktop
22/05/2015 - 11:03:16 - INFO  - Closed the key listener for the new desktop
22/05/2015 - 11:03:16 - INFO  - Closed the new explorer process
22/05/2015 - 11:03:16 - INFO  - *** LOG CLOSED ***

22/05/2015 - 11:52:17 - INFO  - *** LOG INITIALIZED ***
22/05/2015 - 11:52:17 - INFO  - Created desktops
22/05/2015 - 11:52:18 - INFO  - Started the key listener for the current desktop
22/05/2015 - 11:52:18 - INFO  - Started the key listener for the new desktop
22/05/2015 - 11:52:18 - INFO  - Started the new explorer process
22/05/2015 - 11:52:18 - INFO  - Disabled options from CTRL+ALT+DEL menu
22/05/2015 - 11:52:18 - INFO  - Waiting for either LCTRL or ESC to be pressed
22/05/2015 - 11:52:39 - INFO  - Switched to the original desktop
22/05/2015 - 11:53:18 - INFO  - Detected ESC press
22/05/2015 - 11:53:18 - INFO  - Enabled options from CTRL+ALT+DEL menu
22/05/2015 - 11:53:18 - INFO  - Closed the new thread desktop and returned to the original one
22/05/2015 - 11:53:18 - INFO  - Closed the key listener for the current desktop
22/05/2015 - 11:53:18 - INFO  - Closed the key listener for the new desktop
22/05/2015 - 11:53:18 - INFO  - Closed the new explorer process
22/05/2015 - 11:53:18 - INFO  - *** LOG CLOSED ***

